artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Steve Allen,0,80.57,27,0,0,,
Dreezy Featuring Jeremih,0,80.94,170,0,0,,
Chris Brown Featuring Justin Bieber,0,70.0,2,0,0,,
Ray J,9,42.76,553,0,0,,
Lil Durk,5,70.11,129,0,0,0.415,0.735
Andrea True Connection,2,49.04,425,0,0,,
Kool & The Gang,19,48.1,4387,0,0,,
Noreaga,0,46.77,90,0,0,,
Jay-Z Featuring Beanie Sigel & Amil,0,81.56,44,0,0,,
Marilyn Martin,0,56.67,170,0,0,,
Big Jay McNeely And Band,0,68.44,135,0,0,,
The Castle Sisters,0,100.0,1,0,0,,
T.I. Featuring Eminem,1,60.8,14,0,0,,
The New Colony Six,3,63.88,233,0,0,,
Newcity Rockers,0,89.0,29,0,0,,
Joey Dee & the Starliters,2,32.61,360,0,0,,
Mike Pinera,0,78.25,35,0,0,,
Diddy - Dirty Money Featuring T.I.,0,57.9,209,0,0,,
Drake Featuring Fivio Foreign & Sosa Geek,0,66.5,2,0,0,,
Dancer| Prancer And Nervous,1,68.5,20,0,0,,
The Motels,3,48.67,723,0,0,,
Leslie Pearl,0,52.69,135,0,0,,
Post Malone Featuring Sierra Ferrell,0,78.0,1,0,0,,
Jean Beauvoir,0,83.13,35,0,0,,
Foxy Brown Featuring Jay-Z,0,41.95,209,0,0,,
10 Years,0,94.5,2,0,0,,
Cheri,0,64.08,77,0,0,,
Fifty Fifty,0,37.36,324,0,0,,
Nicki Minaj Featuring Drake,14,36.56,284,0,0,,
Cardi B & Megan Thee Stallion,0,57.64,65,0,0,,
Danny Hutton,0,81.0,20,0,0,,
Dodie Stevens,2,54.81,247,0,0,,
Boots Walker,0,77.0,2,0,0,,
Rozetta Johnson,0,94.0,1,0,0,,
Verdelle Smith,0,63.53,62,0,0,,
B.o.B Featuring 2 Chainz,1,76.1,427,0,0,,
Lee Morgan,1,86.75,9,0,0,,
Bros,0,90.4,14,0,0,,
Moneybagg Yo x Glorilla,0,56.0,1,0,0,,
Tom MacDonald,4,83.25,1,0,0,,
Ozo,0,97.67,5,0,0,,
Young M.C.,2,50.62,924,0,0,,
Macklemore & Ryan Lewis Featuring Eric Nally| Melle Mel| Kool Moe Dee & Grandmaster Caz,1,42.8,209,0,0,,
Baha Men With Imani Coppola,0,96.0,9,0,0,,
Buzz Clifford,0,32.86,104,0,0,,
Jay-Z Featuring Beyonce,0,51.0,1,0,0,,
Brad Paisley Featuring Alison Krauss,0,60.0,170,0,0,,
Yo Gotti Featuring E-40,0,88.0,44,0,0,,
50 Cent Featuring Olivia,0,13.91,275,0,0,,
The Five Stairsteps,4,76.55,95,0,0,,
Andy Kim,6,47.68,652,0,0,,
Silkk the Shocker Featuring Mystikal,0,46.39,170,0,0,,
Nia Peeples,4,59.43,351,0,0,,
En Vogue Featuring FMOB,0,67.3,54,0,0,,
The Brotherhood Of Man,1,49.72,151,0,0,,
The Upbeats,0,83.5,3,0,0,,
Dia Frampton,0,66.57,11,0,0,,
Little Stevie Wonder,1,39.83,183,0,0,,
Quavo Featuring Travis Scott,0,88.0,1,0,0,,
The Galens,0,78.4,14,0,0,,
JD Featuring Da Brat,0,49.63,189,0,0,,
Zac Efron & Vanessa Anne Hudgens,0,63.89,16,0,0,,
Regard,0,77.0,54,0,0,,
Gorilla Zoe Featuring Lil Jon,0,77.0,1,0,0,,
Christina Aguilera| Lil' Kim| Mya & P!nk,0,16.8,209,0,0,,
David Guetta Featuring Rihanna,1,73.44,42,0,0,,
Kirko Bangz,0,49.0,252,0,0,,
George Maharis,1,67.15,106,0,0,,
Dolly Parton & Friends,0,72.07,104,0,0,,
George Martin And His Orch.,0,64.5,33,0,0,,
Kanye West Featuring Lupe Fiasco,0,61.78,44,0,0,,
Randy Brown,0,78.0,9,0,0,,
Trick Daddy Featuring The SNS Express,0,69.75,209,0,0,,
Ronny Douglas,0,82.67,5,0,0,,
J. Cole Featuring Daylyt & Ab-Soul,0,62.0,1,0,0,,
Skrillex & Rick Ross,0,69.4,54,0,0,,
Artists Of Then| Now & Forever,0,56.25,9,0,0,,
Chris Brown Featuring Drake,1,17.09,1080,0,0,,
Cassadee Pope,2,60.96,207,0,0,,
Flo Rida Featuring Timbaland,0,35.38,90,0,0,,
21 Savage| Burna Boy & Metro Boomin,0,67.0,1,0,0,,
Metro Boomin & Travis Scott,0,54.0,2,0,0,,
Hadouken!,0,84.27,119,0,0,,
Rich Homie Quan Featuring Problem,0,86.71,27,0,0,,
Marilyn McCoo & Billy Davis Jr.,1,45.5,471,0,0,,
Pendulum,1,92.43,27,0,0,,
Marshmello & Khalid,0,58.0,135,0,0,,
"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",0,98.67,5,0,0,,
Shades Of Blue,0,45.63,86,0,0,,
Duke Jupiter,2,75.64,54,0,0,,
David Kushner,1,51.34,495,0,0,,
Narvel Felts,16,79.92,31,0,0,,
Lil Uzi Vert Featuring Don Toliver,0,70.0,1,0,0,,
Barbara And The Uniques,1,93.0,5,0,0,,
Glen Burtnick,0,77.38,35,0,0,,
Stevie B,7,52.91,1605,0,0,,
David Guetta Featuring Nicki Minaj,1,24.44,374,0,0,,
¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti| Kodak Black & Don Toliver,0,58.0,2,0,0,,
Lil' Mo,0,98.14,27,0,0,,
The Bubble Puppy,0,38.75,77,0,0,,
Los Legendarios| Wisin & Jhay Cortez,0,83.44,44,0,0,,
Hannah Montana Featuring David Archuleta,0,74.0,1,0,0,,
Mandrill,2,80.75,86,0,0,,
Drake & Future,1,55.44,860,0,0,,
Crazy Town,0,23.65,275,0,0,,
Drake Featuring Sexyy Red & SZA,1,28.32,252,0,0,,
Teena Marie Featuring Gerald Levert,1,97.0,1,0,0,,
Lena Zavaroni,0,95.5,9,0,0,,
AWB,5,39.38,338,0,0,,
Scarface Feat. Ice Cube,0,86.57,27,0,0,,
Saverio Saridis,0,88.2,11,0,0,,
England Dan Seals,0,71.67,20,0,0,,
Demi Lovato Featuring Ariana Grande,0,77.0,2,0,0,,
Take That,1,24.7,464,0,0,,
The Headpins,1,81.67,44,0,0,,
Auli'i Cravalho,1,62.85,197,0,0,,
Donell Jones,6,54.84,966,0,0,,
Emitt Rhodes,0,63.11,44,0,0,,
Tinashe,0,75.63,135,0,0,,
The KLF,1,54.16,266,0,0,0.753,0.693
Misiing Persons,0,78.17,20,0,0,,
Lawrence Welk And His Orchestra,5,56.87,424,0,0,0.577,0.836
WC From Westside Connection,1,68.75,209,0,0,,
Morgan Wallen Featuring ERNEST,2,42.08,1205,0,0,,
Huey,0,30.17,275,0,0,,
Oliver Tree & Robin Schulz,1,93.11,37,0,0,,
Christina Milian Featuring Young Jeezy,0,57.08,90,0,0,,
Walter Brennan With Billy Vaughn and his Orchestra,0,59.08,77,0,0,,
Dan Hill (Duet With Vonda Shepard),0,41.42,299,0,0,,
Ann Wilson,1,72.58,77,0,0,,
Fun Factory,1,69.8,504,0,0,,
David Pack,0,96.33,5,0,0,,
Lil Bow Wow,2,65.68,231,0,0,,
Drake Featuring The Weeknd,0,88.4,209,0,0,,
Pebbles (With Salt-N-Pepa),0,85.14,27,0,0,,
The Checkmates| Ltd. Featuring Sonny Charles,0,77.25,9,0,0,,
Jessica Simpson,9,38.32,1132,0,0,,
Henry Paul Band,1,65.9,54,0,0,,
Hot,1,44.73,405,0,0,,
Eminem Featuring Joyner Lucas,1,63.5,91,0,0,,
Dawn,1,29.3,429,0,0,,
Dick Roman,0,73.0,27,0,0,0.421,0.674
Alan Price Set,0,86.67,5,0,0,,
Nate Ruess,0,86.75,9,0,0,,
Lil Durk Featuring Kodak Black,0,76.0,1,0,0,,
Titiyo,0,65.27,65,0,0,,
Brooks & Dunn With Morgan Wallen,0,97.0,1,0,0,,
Michele Lee,0,66.73,65,0,0,,
Wale Featuring Meek Mill & Rick Ross,0,81.0,1,0,0,,
Ying Yang Twins Featuring Lil Jon & The East Side Boyz,1,35.92,350,0,0,,
Trans-X,0,73.67,77,0,0,,
LFO,2,50.54,497,0,0,,
Young Thug With Drake & Travis Scott,1,75.33,77,0,0,,
Bizarrap & Quevedo,0,92.1,35,0,0,,
Nelly Featuring Paul Wall| Ali & Gipp,1,19.93,405,0,0,,
Claude Gray,0,85.0,2,0,0,,
Redman,2,75.09,137,0,0,,
Phajja,0,90.2,14,0,0,,
Dusk,0,73.45,134,0,0,,
Trippie Redd & Travis Scott,0,90.0,1,0,0,,
Pitbull Featuring Ne-Yo| Afrojack & Nayer,1,17.02,1034,0,0,,
Flo Rida Featuring Akon,1,52.6,119,0,0,,
Joey B. Ellis & Tynetta Hare,1,78.75,35,0,0,,
White Plains,0,40.94,121,0,0,,
Rosie And The Originals,1,17.15,90,0,0,,
Gregory Abbott,1,41.85,317,0,0,,
Carrie Underwood Featuring Ludacris,0,57.67,1,0,0,,
The Sapphires,1,64.94,91,0,0,,
Adam Clayton & Larry Mullen,0,43.4,209,0,0,,
Trey Songz Featuring Gucci Mane & Soulja Boy Tell'em,0,62.88,35,0,0,,
AJR,8,62.66,877,0,0,,
DJ Khaled| Lil Baby| Future & Lil Uzi Vert,0,52.0,1,0,0,,
Voyage,0,65.78,44,0,0,,
Little Joey And The Flips,0,52.3,54,0,0,,
Juice WRLD| Polo G & Trippie Redd,0,56.0,1,0,0,,
K.M.C. KRU,0,68.71,104,0,0,,
Offset Featuring  J. Cole,0,65.0,1,0,0,,
Trippie Redd Featuring Lil Durk & Polo G,0,56.0,1,0,0,,
Trippie Redd Featuring Lil Uzi Vert,0,75.33,2,0,0,,
Lanier & Co.,1,68.0,90,0,0,,
Kevin Rudolf Featuring Lil Wayne,1,20.6,629,0,0,,
Bob Dylan/The Band,0,77.8,14,0,0,,
Surf Curse,0,91.0,1,0,0,,
Rocky Burnette,0,36.32,189,0,0,,
Uncle Kracker Featuring Dobie Gray,0,26.54,629,0,0,,
Dean And Jean,1,61.58,139,0,0,,
Rayvon,0,96.0,9,0,0,,
Ian Whitcomb And Bluesville,0,40.21,90,0,0,,
The Carefrees,0,50.8,14,0,0,,
Latto Featuring Cardi B,0,49.44,135,0,0,,
The Abbey Tavern Singers,0,94.0,2,0,0,,
Tyler Collins,5,54.26,281,0,0,,
Rich The Kid,1,42.72,216,0,0,,
Sean Kingston Featuring Chris Brown & Wiz Khalifa,0,74.44,168,0,0,,
Gucci Mane X Bruno Mars X Kodak Black,1,26.23,350,0,0,,
The Waikikis,1,64.54,53,0,0,,
The Ronettes,62,34.23,745,0,0,0.36,0.443
Toni Fisher,0,58.45,65,0,0,,
Kid 'N Play,1,68.95,189,0,0,,
Cherie & Marie Currie,0,95.0,5,0,0,,
The Secrets,1,42.9,54,0,0,,
Shaboozey & Jelly Roll,0,69.17,252,0,0,,
Nelly Featuring Tim McGraw,1,14.21,299,0,0,,
Prince Markie Dee And The Soul Convention,0,78.36,104,0,0,,
King Von Featuring Lil Durk,0,79.0,1,0,0,,
Love And Rockets,0,43.25,218,0,0,,
Dino| Desi & Billy,3,59.69,159,0,0,,
Jameson Rodgers Featuring Luke Combs,0,59.68,189,0,0,,
E-40,0,97.0,2,0,0,,
Meek Mill Featuring Fabolous & Anuel AA,0,72.0,5,0,0,,
Rozalla,2,65.44,236,0,0,,
D.J. Rogers,0,99.0,2,0,0,,
The Spats Featuring Dick Johnson,0,96.0,1,0,0,,
T.I. Featuring Chris Brown,0,70.0,1,0,0,,
Paul Evans and the Curls,1,37.39,170,0,0,,
The Weeknd Featuring Lil Wayne,0,62.0,1,0,0,,
Martin Denny and His Orchestra,0,63.93,119,0,0,,
Bert Sommer,0,62.63,35,0,0,,
Andy Gibb & Victoria Principal,0,65.88,35,0,0,,
Jimmy McGriff,6,65.1,120,0,0,,
Steve Arrington,0,75.67,20,0,0,,
Young Black Teenagers,0,70.9,209,0,0,,
Nino Tempo & April Stevens,4,40.0,234,0,0,,
XXXTENTACION Featuring Kanye West & Travis Barker,0,62.0,1,0,0,,
Andy Williams with the St. Charles Borromeo Choir,1,47.23,90,0,0,,
Facts of Life,0,56.3,54,0,0,,
One To One,0,92.5,9,0,0,,
Nicki Minaj X Lil Baby,0,59.44,95,0,0,,
Keith Herman,0,88.0,9,0,0,,
P. Diddy| Black Rob & Mark Curry,0,53.33,77,0,0,,
Megan Moroney,3,64.36,1356,0,0,0.646,0.71
The Fantastic Four,0,75.89,44,0,0,,
Easy Street,0,87.2,11,0,0,,
Chris Lane,5,70.75,502,0,0,,
John Taylor,0,47.25,77,0,0,,
Sporty Thievz Featuring Mr. Woods,0,51.41,152,0,0,,
Sofi Tukker Featuring NERVO| The Knocks & Alisa Ueno,0,90.6,14,0,0,,
Marie & Rex,0,95.0,2,0,0,,
Playboi Carti Featuring Kendrick Lamar & Jhene Aiko,0,50.5,2,0,0,,
Ace Hood Featuring Trey Songz,0,90.0,1,0,0,,
Jimmy Eat World,3,43.82,666,0,0,,
Concrete Blonde,1,55.33,230,0,0,,
Chico DeBarge,14,59.94,299,0,0,,
MAX Featuring Gnash,1,50.89,393,0,0,,
Flo Rida Featuring Robin Thicke & Verdine White,0,58.36,104,0,0,,
Bailey Zimmerman & Luke Combs,0,42.65,209,0,0,,
Barbra Streisand With Kim Carnes,1,67.0,54,0,0,,
Charlene,5,56.3,285,0,0,,
Patsy Cline,2,58.45,496,0,0,,
Jon Thomas and Orchestra,0,71.7,46,0,0,,
Robbie Patton,2,61.48,167,0,0,,
The Sons Of Champlin,0,82.6,14,0,0,,
Jeff Lynne,0,87.67,5,0,0,,
The Trammps,6,56.92,662,0,0,,
Don & Juan,0,40.94,95,0,0,,
Pardison Fontaine Featuring Cardi B,1,63.25,207,0,0,,
JENNIE,1,95.0,5,0,0,,
Alan O'Day,0,43.9,344,0,0,,
The Razor's Edge,0,82.86,27,0,0,,
Frijid Pink,1,47.16,131,0,0,,
Derez De'Shon,0,76.0,65,0,0,,
ScHoolboy Q Featuring BJ the Chicago Kid,0,53.95,209,0,0,,
Drake Featuring Playboi Carti,0,48.0,5,0,0,,
Shakira & Rauw Alejandro,0,86.38,35,0,0,,
The Arbors,3,63.28,131,0,0,,
Enrique Iglesias With Usher Featuring Lil Wayne,0,48.67,77,0,0,,
The Heartbeats,0,96.0,1,0,0,,
Charlie,6,66.92,114,0,0,,
Nektar,0,95.2,14,0,0,,
Stacy Earl (Featuring The Wild Pair),0,44.92,77,0,0,,
3OH!3,4,48.74,709,0,0,,
Freddy King,0,67.62,79,0,0,,
Lady Gaga Featuring Gesaffelstein,0,93.0,1,0,0,,
Cali Swag District,0,50.1,209,0,0,,
Taylor Hicks,0,54.75,41,0,0,,
The Brand New Heavies,3,76.13,79,0,0,,
Internet Money| Lil Tecca & A Boogie wit da Hoodie,0,98.0,9,0,0,,
The Hesitations,0,66.43,96,0,0,,
Marcie Blane,1,31.58,140,0,0,,
Moneybagg Yo Featuring DaBaby,0,89.0,1,0,0,,
Mesa,0,75.78,44,0,0,,
Flobots,0,56.7,209,0,0,,
Eminem| 50 Cent| Lloyd Banks & Ca$his,1,49.17,20,0,0,,
Moneybagg Yo Featuring Morgan Wallen,0,52.0,209,0,0,,
Mickey Lee Lane,0,66.0,44,0,0,,
Boy Meets Girl,4,47.96,479,0,0,,
Betty Everett,8,60.02,257,0,0,,
The Parliaments,0,59.5,117,0,0,0.667,0.398
The Royalettes,0,64.88,85,0,0,,
Tommy Boyce & Bobby Hart,1,44.81,205,0,0,,
State Of Mine & Drew Jacobs,0,73.0,1,0,0,,
Prince Buster,0,90.5,9,0,0,,
Big Noise,0,97.33,5,0,0,,
Beyonce & Willie Jones,0,59.0,1,0,0,,
Jay-Z Featuring Memphis Bleek & Amil,0,87.87,119,0,0,,
Erick Sermon Featuring Marvin Gaye,0,49.0,209,0,0,,
Surfaces,0,41.38,230,0,0,,
Ja-Kki,0,97.0,5,0,0,,
Joan Jett & The Blackhearts,7,44.53,1109,0,0,,
John W. Anderson presents KaSandra,0,94.5,2,0,0,,
Westlife,0,43.35,209,0,0,,
FRENTE!,0,65.93,119,0,0,,
The Vapors,1,58.65,152,0,0,,
Post Malone Featuring Ty Dolla $ign,0,16.56,779,0,0,,
Tyga Featuring Lil Wayne,0,57.95,252,0,0,,
Superstar Pride,0,67.87,119,0,0,,
Arthur Conley,2,45.62,271,0,0,,
Blueface & Rich The Kid,0,90.0,9,0,0,,
Tiesto & Dzeko Featuring Preme & Post Malone,0,65.21,189,0,0,,
Joel Corry X MNEK,0,99.0,1,0,0,,
Omarion Featuring Gucci Mane,0,93.86,25,0,0,,
Ray Sawyer,0,81.67,5,0,0,0.393,0.599
Derek & The Dominos,1,49.85,315,0,0,,
Crash Craddock,0,94.0,1,0,0,,
Dev,0,28.4,209,0,0,,
Autry Inman,0,63.86,27,0,0,,
Jimmy Somerville,0,93.5,9,0,0,,
Ralph DeMarco,0,94.5,2,0,0,,
Youngstown,0,87.3,54,0,0,,
Meek Mill Featuring Chris Brown & Nicki Minaj,0,37.0,209,0,0,,
Single Bullet Theory,0,83.5,9,0,0,,
Junior H X Oscar Maydon,0,88.5,2,0,0,,
Peter Shelley,1,88.33,20,0,0,,
Hunter Hayes Featuring Jason Mraz,1,86.89,44,0,0,,
Ken Carson,0,79.0,1,0,0,,
Hurricane Smith,1,38.67,163,0,0,,
Kid Cudi Featuring Kanye West & Common,0,65.47,119,0,0,,
Terry Stafford,0,32.87,154,0,0,,
Meek Mill Featuring Kehlani,0,95.0,1,0,0,,
Frankie J Featuring Baby Bash,0,19.19,230,0,0,,
Bhad Bhabie Featuring Lil Yachty,0,85.0,5,0,0,,
Pop Smoke Featuring 50 Cent & Roddy Ricch,0,33.05,209,0,0,,
Kendrick Lamar & Kodak Black,0,60.09,65,0,0,,
Panic! At The Disco Featuring Lolo,0,68.0,1,0,0,,
Maejor Ali Featuring Juicy J & Justin Bieber,1,71.25,5,0,0,,
Billy Butler & The Chanters,0,67.0,20,0,0,,
Fabolous Featuring P. Diddy & Jagged Edge,0,51.22,170,0,0,,
Photoglo,0,55.93,104,0,0,,
Sammy Hagar,11,62.92,921,0,0,0.899,0.553
Gwen Guthrie,0,66.08,90,0,0,,
Voices,0,82.75,35,0,0,,
Robin Ward,1,30.4,54,0,0,,
Metro Boomin & 21 Savage Featuring Mustafa,0,52.0,1,0,0,,
Southcote,0,83.5,9,0,0,,
Lindsey Buckingham,3,44.23,338,0,0,,
Lil Wayne Featuring Gudda,0,76.0,1,0,0,,
James Ingram With Michael McDonald,1,44.17,170,0,0,,
The Lonely Island Featuring T-Pain,0,72.2,209,0,0,,
Angel City Featuring Lara McAllen,0,96.75,9,0,0,,
Buffy Sainte-Marie,1,73.31,42,0,0,,
C Company Featuring Terry Nelson,0,38.75,9,0,0,,
Chris Christian,0,62.36,104,0,0,,
The Marvelows,0,60.56,44,0,0,,
Kevin Johnson,0,81.25,9,0,0,,
Mongo Santamaria Band,0,37.82,65,0,0,,
The JB's,0,83.5,37,0,0,,
Larry Hall,1,35.73,119,0,0,,
Nat King Cole,67,54.47,991,0,0,,
The Foundations,2,38.95,258,0,0,,
Doja Cat Featuring Nicki Minaj,0,28.5,740,0,0,,
Pitbull Featuring Shakira,0,94.0,2,0,0,,
Eria Fachin,0,69.2,54,0,0,,
Pop Smoke Featuring Lil Tjay,0,38.6,209,0,0,,
Patra Featuring Yo-Yo,0,70.5,135,0,0,,
French Montana Featuring Rick Ross| Drake| Lil Wayne,0,51.86,252,0,0,,
Batdorf & Rodney,0,86.1,32,0,0,,
JT Money Featuring Sole,0,39.55,209,0,0,,
Bobby Womack,7,61.09,442,0,0,,
Memphis Bleek (& Jay-Z),0,73.92,77,0,0,,
LoveRance Featuring IamSu & Skipper or 50 Cent,0,66.55,209,0,0,,
Al (He's the King) Hirt,1,50.38,230,0,0,,
Boys Club,1,39.14,230,0,0,,
The Walter Murphy Band,1,58.1,54,0,0,,
Peso Pluma & Junior H,0,67.0,14,0,0,,
Big Audio,1,71.89,206,0,0,,
Chris Brown Featuring Future & Young Thug,0,91.0,1,0,0,,
B.E. Taylor Group,2,81.8,37,0,0,,
Maxine Nightingale,3,40.98,533,0,0,0.33,0.599
S.O.A.P.,0,62.25,77,0,0,,
Willie Max Featuring Raphael Saadiq,1,80.0,54,0,0,,
The Troggs,2,35.27,255,0,0,,
Paul Wall Featuring Jermaine Dupri,0,90.0,9,0,0,,
Nappy Brown,0,92.0,1,0,0,,
Kevin Paige,1,50.31,376,0,0,,
Terry McDermott,0,77.0,1,0,0,,
Ariana Grande Featuring Nicki Minaj,2,19.77,405,0,0,,
Don Felder,0,62.24,152,0,0,,
Brotherhood Creed,0,70.67,170,0,0,,
Bud Shank,0,75.5,20,0,0,,
Carolina Gaitan| Mauro Castillo| Adassa| Rhenzy Feliz| Diane Guerrero| Stephanie Beatriz & Encanto Cast,0,15.3,209,0,0,,
Paul Wall Featuring Big Pokey,0,97.8,9,0,0,,
Gucci Mane Featuring Migos,1,24.92,358,0,0,,
Donna McDaniel,0,94.6,14,0,0,,
J-Hope,3,81.0,1,0,0,,
Blake Lewis,0,56.6,9,0,0,,
Saga,1,61.03,210,0,0,,
Gene Simmons,1,57.75,35,0,0,,
The Standells,1,56.79,202,0,0,,
Beau Coup,0,85.0,20,0,0,,
Joe Diffie,9,77.45,535,0,0,,
The Blue Jays,0,48.56,44,0,0,,
Romeo Santos Featuring Usher,0,92.33,44,0,0,,
Ronnie Height,0,59.17,20,0,0,,
Pitbull Featuring T-Pain,1,28.97,495,0,0,,
Master P Featuring D.I.G.,0,94.67,5,0,0,,
Norma Tanega,0,42.44,44,0,0,,
Perez Prado And His Orchestra,4,51.75,162,0,0,,
The Glencoves,0,60.56,44,0,0,,
Big Sean Featuring Drake,0,38.85,209,0,0,,
Brandon Lake X Jelly Roll,1,70.3,372,0,0,,
Rebecca Black & Dave Days,0,55.0,1,0,0,,
Biddu Orchestra,1,73.3,29,0,0,,
Eddie and Betty,0,87.5,6,0,0,,
Jesse McCartney,7,43.73,635,0,0,,
Leon Thomas,0,28.49,700,0,0,,
The Orlons,2,40.92,485,0,0,,
The Balloon Farm,0,45.5,35,0,0,,
The Honey Cone,3,42.97,406,0,0,,
Zedd Featuring Jon Bellion,0,80.57,102,0,0,,
Yvonne Baker and the Sensations,0,78.83,18,0,0,,
Collage,1,66.95,209,0,0,,
The Nutty Squirrels,1,47.44,97,0,0,,
Rupee,1,69.5,209,0,0,,
Reba McEntire Duet With Kelly Clarkson,0,59.6,119,0,0,,
Gabito Ballesteros & Tito Double P,0,92.0,1,0,0,0.759,0.494
Steve Sperry,0,91.67,5,0,0,,
Canibus,0,49.13,119,0,0,,
The Game Featuring Keyshia Cole,0,81.71,27,0,0,,
Fantasy,0,84.91,59,0,0,,
Joe Jonas,3,60.0,5,0,0,,
50 Cent Featuring Akon,0,95.0,1,0,0,,
Blair,0,92.75,9,0,0,,
DNCE,1,40.27,1134,0,0,,
Stoney & Meatloaf,0,78.33,20,0,0,,
Ana,3,85.4,32,0,0,,
Bobby Rydell,6,38.43,1557,0,0,0.643,0.335
Regina,0,38.85,209,0,0,,
PinkPantheress,0,96.0,1,0,0,,
Calvin Harris & Dua Lipa,0,41.24,230,0,0,,
Diddy & Bryson Tiller,0,91.71,27,0,0,,
Travie McCoy Featuring Jason Mraz,0,87.8,14,0,0,,
Pop Smoke Featuring Future,0,71.0,1,0,0,,
Nick Jonas & The Administration,1,80.5,1,0,0,,
Summer Walker & PARTYNEXTDOOR,0,86.0,1,0,0,,
Diving For Pearls,1,88.5,20,0,0,,
Tracy Byrd,10,74.79,663,0,0,,
Agust D,3,67.0,1,0,0,,
Chris Brown Featuring Usher & Gucci Mane,0,52.75,209,0,0,,
Brotherhood of Man,0,55.27,65,0,0,,
Mickey Murray,0,62.13,35,0,0,,
Michael Penn,0,49.71,170,0,0,,
112 Featuring The Notorious B.I.G.,0,27.36,405,0,0,,
Rihanna Featuring David Guetta,0,65.44,44,0,0,,
Hayley Mills,0,45.09,65,0,0,,
Dionne Warwick & Jeffrey Osborne,0,36.5,104,0,0,,
Ernie Fields,0,64.8,54,0,0,,
Usher Featuring Jay-Z,0,41.94,135,0,0,,
B.o.B Featuring Hayley Williams,0,12.27,464,0,0,,
Lina Santiago,0,61.04,244,0,0,,
Sue Thompson,4,43.99,475,0,0,,
Offset,3,69.2,5,0,0,0.439,0.745
Don Shirley,1,100.0,1,0,0,,
Addison Rae,1,78.13,187,0,0,,
Ginuwine Featuring Baby,0,41.65,209,0,0,,
Brandy Featuring Kanye West,0,65.57,104,0,0,,
Mariah Carey Featuring Nicki Minaj,0,100.0,1,0,0,,
Molly Hatchet,4,75.25,75,0,0,,
Wings,7,34.33,1391,0,0,,
The Fantastic Johnny C,1,46.06,236,0,0,0.672,0.533
Reel 2 Real Featuring The Mad Stuntman,0,94.5,20,0,0,,
The Ikettes,3,52.7,139,0,0,,
Marshmello & Halsey,0,52.67,119,0,0,,
Craig Campbell,3,89.29,142,0,0,,
The Islanders,0,43.23,90,0,0,,
A Boogie wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,0,86.0,1,0,0,,
Nate Smith,3,63.44,1207,0,0,,
Ric-A-Che Featuring Darija,0,97.0,1,0,0,,
Rod Bernard,0,56.38,121,0,0,,
Gamma,2,78.45,34,0,0,,
Jermaine Stewart,3,51.31,492,0,0,,
T-Pain Featuring Ludacris,1,49.68,189,0,0,,
Five Man Electrical Band,3,54.24,281,0,0,,
YG,12,81.14,67,0,0,,
Chris Brown & Tyga,0,37.8,209,0,0,,
"Shaggy Feat. Ricardo ""RikRok"" Ducent",1,13.36,324,0,0,,
French Montana Featuring Drake,3,75.1,274,0,0,,
Piero Umiliani,0,63.5,20,0,0,,
General Larry Platt,0,63.67,5,0,0,,
Night,2,52.0,124,0,0,,
Quincy Jones (feat. The Brothers Johnson),0,76.6,54,0,0,,
Bill Quateman,0,93.0,14,0,0,,
B2K Featuring Fabolous,1,71.88,35,0,0,,
Buck 22 Featuring Billy Ray Cyrus,0,80.0,1,0,0,,
Les Emmerson,0,66.44,44,0,0,,
Dionne Warwick & Johnny Mathis,0,65.23,90,0,0,,
Metro Station,1,38.0,484,0,0,,
Chris Brown Featuring Lil Wayne & Busta Rhymes,0,18.26,377,0,0,,
Noah Kahan With Hozier,1,83.92,72,0,0,,
Leah Andreone,0,70.5,209,0,0,,
Zach Bryan Featuring Noah Kahan,0,62.5,5,0,0,,
Leon Russell,4,49.77,296,0,0,,
The Uniques Featuring Joe Stampley,0,75.0,20,0,0,,
DMX Featuring Sisqo,0,74.6,209,0,0,,
Big Red Machine Featuring Taylor Swift,0,73.0,1,0,0,,
Mariah Carey Featuring Miguel,0,36.81,135,0,0,0.325,0.373
Larry Elgart And His Manhattan Swing Orchestra,0,55.83,77,0,0,,
Nikki,0,47.47,119,0,0,,
Wednesday,1,67.45,179,0,0,,
Megan Thee Stallion Featuring City Girls & Hot Girl Meg,0,92.0,1,0,0,,
Ashlee Simpson With Tom Higgenson,0,96.0,1,0,0,,
Lillywood & Robin Schulz,1,52.2,209,0,0,,
Trey Songz Featuring T.I.,0,57.25,209,0,0,0.815,0.893
DJ Khaled Featuring Meek Mill & Lil Baby,0,91.0,1,0,0,,
Fat Joe Featuring Ginuwine,0,83.14,27,0,0,,
Rene And Ray,0,82.67,5,0,0,,
Wild Blue,0,79.83,20,0,0,,
Pitbull x El Chombo x Karol G Featuring Cutty Ranks,0,64.89,44,0,0,,
BLEU & Nicki Minaj,0,93.0,1,0,0,,
Enrique Iglesias Feat. Wisin or Tinashe & Javada,0,88.0,35,0,0,,
Enrique Iglesias Featuring Descemer Bueno & Gente De Zona,0,33.9,464,0,0,,
