artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
The Doobie Brothers,17,46.82,1876,2,4,,
D'Angelo,5,53.4,760,2,5,,
Tammy Wynette,8,74.3,213,2,9,0.741,0.608
The Kid LAROI,4,57.16,1270,0,1,,
Huey Lewis & The News,13,38.53,2716,1,1,0.467,0.387
The Chainsmokers,8,46.86,334,0,1,0.625,0.818
Michelle Shocked,1,78.88,35,0,2,,
Luis Fonsi,3,97.0,25,0,3,,
U2 With B.B. King,0,77.14,27,0,1,,
Ruby And The Romantics,2,50.06,303,0,1,,
Shania Twain,16,50.63,3247,3,11,0.683,0.615
Billy Preston,13,46.33,1031,1,5,,
Cindy Bullens,1,78.1,32,0,1,,
Travis Scott,10,46.67,3320,0,3,0.795,0.786
Rosemary Clooney,0,87.67,5,0,8,,
Sam Cooke,8,44.39,1941,0,6,,
Modest Mouse,3,82.42,226,0,1,,
Third World,0,67.63,35,0,8,,
J Balvin,1,92.8,83,0,2,,
50 Cent,9,34.2,2077,0,6,,
The Blackbyrds,3,55.65,281,0,1,,
Michael Jackson And Paul McCartney,1,25.44,170,0,1,,
Jason Aldean,20,59.56,6112,0,3,0.323,0.376
B.J. Thomas,17,46.0,1419,4,9,0.621,0.306
Joe Tex,13,52.43,1134,0,5,,
Lawrence Welk,0,98.0,1,0,1,,
Bobby Lewis,1,32.41,334,0,1,,
Jeannie C. Riley,3,54.21,148,1,4,,
Ed Ames,4,60.48,203,0,3,,
Imogen Heap,0,91.42,62,0,2,,
Joe Jackson,5,46.86,810,1,5,,
Eddy Arnold,9,65.73,471,0,6,,
Keri Hilson,3,50.65,296,0,1,,
Tame Impala,0,61.33,5,0,3,,
Donovan,8,41.2,699,0,1,,
Roger Williams,11,59.86,532,0,2,,
Bill Wyman,1,89.6,14,0,1,,
Don McLean,11,38.41,755,0,3,,
Kaleo,0,78.5,35,0,1,,
Jermaine Jackson,19,53.81,1490,0,1,0.814,0.704
Rihanna Featuring Calvin Harris,12,15.12,860,1,1,,
Ramsey Lewis,10,70.2,213,2,2,,
Dixie Chicks,9,57.34,2806,12,16,,
Rod Stewart,27,43.37,5784,1,14,,
Luke Combs,8,42.21,7675,0,4,0.696,0.843
Dokken,3,81.08,127,0,1,,
Tamia,5,57.95,832,0,2,,
Little Big Town,17,61.18,1719,3,14,,
Prince And The Revolution,32,34.61,1074,0,2,,
Aaron Neville,29,53.44,545,0,7,,
Kris Kross,4,45.73,841,0,1,,
Jean Knight,14,50.17,268,0,1,,
Alison Moyet,0,61.24,161,0,1,,
Barry Manilow,12,40.1,3100,1,8,,
Doris Day,4,52.57,139,0,2,,
Al Hirt,4,49.0,79,1,8,,
Apollo 100,0,96.67,5,0,1,,
Kate Bush,43,47.94,827,0,3,,
Julian Lennon,5,45.68,537,0,1,,
Panic! At The Disco,13,44.78,2567,0,1,,
Kirk Franklin,6,84.97,355,6,8,,
Destiny's Child Featuring T.I. & Lil Wayne,1,13.52,230,0,1,,
Celine Dion,18,35.67,3925,4,9,0.635,0.531
Lee Brice,12,62.41,2360,0,1,,
Kelsea Ballerini,6,74.05,1161,0,4,,
Coi Leray,0,31.38,350,0,1,,
Trace Adkins,15,70.97,1707,0,2,,
Twista Featuring Kanye West & Jamie Foxx,1,15.73,252,0,1,,
Sheena Easton,10,46.69,2673,1,4,,
Burt Bacharach,6,95.4,7,1,2,,
Skrillex,1,87.12,96,3,6,,
Train,18,41.55,5398,1,4,0.78,0.775
Mary Hopkin,4,49.07,215,0,1,,
Omar Apollo,0,70.14,27,0,1,,
Tool,18,75.24,209,3,6,,
Elvis Presley,67,40.41,3179,3,13,0.884,0.372
Nappy Roots Featuring Anthony Hamilton,0,52.09,275,0,1,,
Olivia Rodrigo,4,37.67,3978,3,10,0.851,0.717
Cameo,4,53.53,496,0,1,,
William Bell,15,60.06,185,1,2,,
Jackson Browne,14,48.48,1337,0,5,,
Albert King,5,81.5,11,0,2,,
Cypress Hill,6,67.13,503,0,3,,
Susan Boyle,0,80.0,1,0,2,,
Don Henley,18,50.47,2007,2,9,,
Tori Kelly,1,77.75,184,1,3,,
Howard Tate,4,80.0,68,0,1,,
Gwyneth Paltrow,0,84.0,2,0,1,,
Eddie Vedder,0,92.0,1,0,2,,
Enrique Iglesias,15,36.59,1602,1,4,,
Kem,0,93.0,101,0,2,,
Ashanti,6,32.55,1852,1,5,,
Shawn Mullins,1,18.89,170,0,1,,
Estelle,0,100.0,1,0,1,,
Khalid,3,33.08,3799,0,3,,
Tony Bennett,9,63.8,836,12,21,,
Dan Seals,0,60.2,119,0,1,,
Mason Williams,1,43.68,108,1,2,,
Elvis Costello,0,48.14,104,0,7,,
Bobby Bland,15,70.96,783,0,5,,
Laufey,1,77.67,9,1,1,,
George McCrae,2,53.29,230,0,1,,
A Flock Of Seagulls,2,51.67,570,1,2,,
Jewel,12,30.86,3235,0,4,,
Meghan Trainor,10,33.92,2566,1,2,,
Carole King,20,39.54,1011,3,6,,
The Spinners,22,44.46,2044,0,5,,
Lil Wayne Featuring T-Pain,3,29.61,377,0,1,,
Miley Cyrus Featuring Brandi Carlile,0,68.0,1,0,1,,
Timbuk 3,1,45.81,135,0,1,,
Johnny Tillotson,7,51.11,1432,0,2,,
"Missy ""Misdemeanor"" Elliott",16,31.6,881,1,4,,
Missy Elliott Featuring Ciara & Fat Man Scoop,0,23.82,405,1,1,,
Musiq,4,51.19,1125,0,4,,
El DeBarge,1,54.7,310,0,2,,
Rihanna,20,34.42,7563,2,10,,
Danny Gokey,0,82.0,1,0,2,,
The Dynatones,0,68.25,35,0,1,,
Miley Cyrus,18,34.63,4777,2,5,0.304,0.701
Fiona Apple,1,30.35,209,3,8,,
Rainbow,5,68.6,166,0,1,,
Shabba Ranks,3,70.82,233,2,2,,
Emerson Drive,5,67.85,662,0,1,,
Lil Wayne Featuring Jay-Z,0,87.0,152,0,1,,
Jimi Hendrix,4,75.21,71,0,2,,
Snoop Dogg,17,51.68,688,0,1,,
Akon Featuring Eminem,1,17.93,464,0,1,,
Kiss,16,56.44,1672,0,1,,
John Mayer,17,46.91,2948,6,14,,
The Isley Brothers,38,56.67,1866,0,1,,
R. Kelly,17,39.28,5041,1,16,,
Pop Smoke,1,47.47,1207,0,1,0.604,0.371
Jo Dee Messina,7,58.37,1541,0,1,,
P.O.D.,5,58.98,400,0,3,,
Wiz Khalifa,4,44.79,1111,0,2,,
Elton John,30,38.6,8104,2,21,0.597,0.607
Narada Michael Walden,1,72.47,85,1,1,,
Shakira,22,50.29,976,4,5,,
Rick James,7,59.6,932,0,2,0.616,0.706
Jelly Roll With Lainey Wilson,1,54.78,662,0,1,,
Joe Henderson,0,45.71,86,1,3,,
Paul McCartney,54,48.1,1007,4,23,,
Gilbert O'Sullivan,2,33.1,624,0,2,,
Robbie Williams,1,75.65,198,0,1,,
Michael Bolton,14,39.67,3021,2,4,0.534,0.672
Tamar Braxton,13,82.81,226,0,3,,
Gloria Gaynor,5,50.26,649,2,6,0.735,0.67
Grace Jones,10,83.73,91,0,1,,
Heart,18,46.99,3864,0,4,,
Fontella Bass,1,50.14,145,0,2,,
The Cranberries,4,41.59,717,0,1,,
Stryper,1,65.75,238,0,1,,
Maroon 5,17,29.9,7930,3,9,,
Digable Planets,1,52.41,236,1,2,,
Beenie Man,6,65.72,286,1,4,,
The Fabulous Thunderbirds,2,59.73,284,0,3,,
Elle King,1,36.82,740,0,1,,
Grace Slick,0,96.5,2,0,1,,
Nelly Furtado,6,31.91,1303,1,4,,
Barenaked Ladies,7,59.79,873,0,2,,
Erykah Badu,13,54.57,470,2,10,,
Lou Reed,0,41.07,104,1,2,,
Ella Washington,0,79.33,5,0,1,,
Lady A,1,77.65,100,0,1,,
Freddie Jackson,3,56.19,805,0,2,,
Annie Lennox,23,49.05,840,2,7,,
Michel Legrand,0,67.0,35,0,1,,
Alan Jackson,16,61.65,3446,0,10,,
Chappell Roan,1,39.36,4497,1,5,,
Leona Lewis,1,33.13,1333,0,3,,
Lil Nas X,5,30.86,2402,0,6,,
Amy Grant,10,41.2,1555,6,14,,
Bruce Hornsby,2,71.9,109,0,4,,
Kelis,5,42.71,329,0,2,,
Olivia Newton-John,27,40.17,3480,4,11,,
Lalo Schifrin,0,58.36,104,0,1,,
Maynard Ferguson,2,58.06,99,0,4,,
Lisa Loeb,1,43.72,279,1,1,,
Gretchen Wilson,1,59.04,581,1,7,,
Al Jarreau,6,58.17,514,5,13,,
Millie Jackson,6,59.42,363,0,1,,
Lady Gaga & Bradley Cooper,1,26.38,1034,2,3,,
National Lampoon,0,93.25,9,0,3,,
Deep Forest,0,85.63,35,1,2,,
Trick Pony,0,75.53,313,0,1,,
Dr. Dre Featuring Snoop Dogg,23,52.14,230,0,2,,
Pet Shop Boys,5,51.83,917,0,5,,
Kim Carnes,7,51.02,1169,1,5,,
Chloe X Halle,0,83.64,61,0,2,,
Amii Stewart,0,41.38,229,0,1,,
Timi Yuro,4,54.29,312,0,1,,
Daddy Yankee,14,59.63,873,0,2,,
Peter Nero,1,44.23,90,2,6,,
George Strait,21,66.12,5060,1,11,,
Club Nouveau,0,41.8,242,0,1,,
The Lettermen,10,53.75,983,0,4,,
Noah Kahan,1,35.02,1386,0,1,,
Carpenters,12,36.2,2344,3,7,0.489,0.531
Sonny James,13,89.85,128,0,3,,
Farruko,2,49.96,218,0,1,,
Dan + Shay,11,58.04,3659,2,4,0.513,0.313
Capital Cities,1,33.84,945,0,1,,
Andy Williams,67,45.11,2651,0,6,0.587,0.471
Alien Ant Farm,1,46.8,209,0,1,,
Old Dominion,8,65.82,2179,0,1,,
Maren Morris,6,60.78,2439,1,7,0.576,0.37
Ben Colder,6,76.0,54,0,1,,
Robert Plant,8,58.9,544,0,7,,
Brandy,15,37.3,2716,0,7,,
The Chainsmokers Featuring Halsey,1,12.9,1377,0,1,,
Dottie West,7,74.26,84,1,10,,
Oasis,12,46.83,313,0,2,,
Coolio Featuring L.V.,1,14.55,740,0,1,,
Blondie,20,40.07,1444,0,2,,
Ziggy Marley And The Melody Makers,3,71.33,104,0,4,,
Bebe Rexha,2,54.59,274,0,1,,
Indigo Girls,3,72.55,46,1,7,,
The Rooftop Singers,0,38.57,171,0,1,,
Godsmack,7,86.64,42,0,3,,
The Staple Singers,9,44.98,798,0,5,,
I Love Makonnen Featuring Drake,1,33.27,252,0,1,,
Boots Randolph,3,89.7,23,0,1,,
Swedish House Mafia Featuring John Martin,1,31.55,560,0,1,,
Daniel Powter,0,18.09,527,0,1,,
Hanson,3,28.33,488,0,3,,
Lady Gaga & Bruno Mars,1,6.07,1829,1,1,,
Jody Miller,7,59.19,181,1,3,,
Gracie Abrams Featuring Taylor Swift,0,55.0,2,0,1,,
Megan Thee Stallion,5,59.89,765,1,2,,
Jack Harlow,4,32.79,1440,0,3,,
Shiny Toy Guns,0,97.0,1,0,1,,
Kid Cudi,16,44.24,381,0,1,,
Dionne Warwick,24,48.66,2806,4,10,0.6515,0.6125
The Shins,0,86.0,1,0,1,,
Lesley Gore,4,43.88,839,0,2,,
Robert Goulet,3,56.0,146,1,1,,
John Denver,11,50.19,1999,1,3,,
Donna Fargo,3,57.44,570,1,1,,
Dave Matthews Band,13,64.61,781,1,11,,
Toto,10,45.98,1909,3,5,,
Jason Aldean & Carrie Underwood,1,33.72,303,0,1,,
Cutting Crew,2,44.14,498,0,1,0.8285,0.635
Pat Benatar,9,43.69,2219,4,9,,
Sheila E.,3,49.26,798,0,4,,
James Darren,16,44.83,417,0,1,,
Ray Stevens,18,51.84,971,1,8,,
LL Cool J,17,42.79,2529,2,8,0.889,0.493
Velvet Revolver,1,70.65,418,1,2,,
Mudvayne,0,95.25,9,0,1,,
Saliva,1,70.17,214,0,1,,
New Order,8,65.26,468,0,1,,
Mint Condition,8,48.89,1112,0,1,,
Conway Twitty & Loretta Lynn,0,68.5,20,1,1,,
Missy Elliott,5,65.95,231,2,6,,
Chrisette Michele,0,93.33,5,0,2,,
Shaggy,2,44.26,586,1,6,,
Ronnie Milsap,14,52.2,1282,5,10,0.603,0.341
Aaliyah,9,29.94,3237,0,5,,
SZA,8,39.04,6142,1,10,,
Lonestar,9,53.92,3517,0,4,,
Soul II Soul Featuring Caron Wheeler,0,41.25,209,1,1,,
Wu-Tang Clan,1,79.73,239,0,1,,
Chris Brown Featuring Davido & Lojay,0,84.38,30,0,1,,
Frank Mills,7,50.58,297,0,1,,
Diamond Rio,5,52.8,836,1,14,,
Quad City DJ's,1,39.94,1111,0,1,,
Van Morrison,11,52.17,522,0,3,,
Lou Rawls,18,54.92,1018,3,11,,
Mariah Carey,35,23.49,9198,4,21,,
Homer And Jethro,0,33.9,54,1,4,,
Paul McCartney And Wings,7,25.81,916,0,2,,
Barbra Streisand & Barry Gibb,1,32.66,387,1,1,,
Fat Joe Featuring Ashanti,0,15.46,405,0,1,,
Simply Red,6,48.69,1017,0,3,,
Barbra Streisand,22,48.82,2675,6,38,,
Drake Featuring Lil Durk,1,12.24,434,0,1,,
